location,area_sqft,bedrooms,bathrooms,stories,age_years,garage,balcony,basement,nearby_school_score,crime_rate,property_type,price
Lakeview,1884,3,2,2,31,0,1,0,7.92,0.43,Apartment,874996.16
Lakeview,2177,1,2,1,34,0,1,0,8.95,1.44,Villa,857325.64
Suburban,1651,4,3,1,38,2,0,0,6.75,0.44,Townhouse,867555.77
Suburban,1469,2,2,1,15,0,1,0,6.21,0.47,Townhouse,669555.79
Old Town,1583,5,3,3,36,0,1,1,8.63,0.61,Villa,975650.84
Downtown,1751,1,1,3,4,0,1,0,8.93,0.29,Apartment,835845.33
Riverside,1460,4,1,1,14,0,1,1,9.77,1.05,Apartment,706852.92
Old Town,2189,1,1,2,10,2,0,1,5.74,0.86,Condo,779736.52
Lakeview,2501,4,2,2,36,2,0,1,9.45,1.35,Townhouse,1101128.02
Lakeview,1227,3,1,1,24,2,0,1,8.83,0.4,Condo,795188.29
Suburban,2114,5,1,2,14,0,0,1,8.51,0.3,Apartment,934150.34
Lakeview,1979,4,1,2,6,1,0,1,6.57,0.57,Villa,1005268.74
Downtown,2288,2,3,3,31,2,0,1,5.11,0.26,Villa,1053221.5
Uptown,2093,1,3,3,26,1,1,1,7.54,1.42,Villa,964159.13
Uptown,1301,3,1,1,34,2,1,0,6.43,1.09,Villa,738237.55
Lakeview,1406,3,3,2,17,1,1,1,6.45,1.2,Apartment,830920.2
Suburban,2116,1,1,3,5,0,0,0,9.64,1.13,Apartment,835091.05
Lakeview,2666,3,2,3,13,1,0,0,5.76,0.4,Condo,1081292.98
Downtown,882,2,1,3,24,2,1,1,9.67,0.25,Villa,839344.25
Old Town,2290,2,2,3,9,2,0,1,7.52,0.67,Apartment,956874.99
Old Town,2754,1,3,1,2,1,1,1,9.19,1.25,Villa,1017673.36
Riverside,2016,2,3,3,32,1,1,0,6.42,0.53,Condo,945019.18
Downtown,2403,2,2,3,21,2,1,1,8.17,0.06,Villa,1158862.2
Uptown,1713,1,2,3,15,2,0,1,7.78,1.01,Condo,891243.6
Riverside,2034,3,3,3,22,1,1,0,9.62,0.34,Apartment,1016951.68
Hillview,1208,2,1,1,29,0,1,1,5.9,0.84,Apartment,568213.85
Riverside,811,1,2,1,0,2,0,1,6.02,0.07,Townhouse,684564.13
Riverside,2619,3,1,2,17,2,0,1,9.74,0.79,Townhouse,1086128.55
Lakeview,1558,1,3,2,10,0,1,0,5.49,0.62,Condo,793238.79
Downtown,1849,5,2,1,3,0,0,0,8.17,1.33,Villa,834551.73
Uptown,1337,3,2,1,1,0,1,0,5.3,1.1,Apartment,668483.07
Uptown,1325,5,2,3,17,1,0,1,5.38,0.1,Townhouse,893521.78
Riverside,2004,5,1,2,21,0,1,1,7.99,1.19,Villa,947790.39
Suburban,1699,5,1,1,20,2,0,0,7.76,1.2,Apartment,768744.23
Downtown,2308,3,3,2,31,2,0,1,7.87,1.01,Apartment,989447.24
Lakeview,2349,3,1,2,18,0,0,0,7.37,1.4,Townhouse,924105.32
Lakeview,2276,4,1,1,23,2,0,1,8.71,1.21,Townhouse,957540.54
Suburban,2231,1,1,3,32,0,0,0,9.96,0.37,Apartment,860228.93
Downtown,2968,5,3,2,26,2,1,1,6.38,0.6,Townhouse,1199473.17
Downtown,1513,2,1,1,36,1,0,0,6.62,0.56,Condo,694602.14
Downtown,2070,1,3,1,8,0,0,0,6.62,0.78,Condo,816411.74
Uptown,2723,2,2,3,31,1,0,1,8.82,1.43,Villa,1126025.1
Lakeview,2795,2,3,1,27,2,1,1,6.74,0.94,Apartment,1036482.92
Suburban,1318,1,2,1,23,2,1,0,8.38,0.5,Townhouse,749616.95
Uptown,1928,4,1,2,0,0,1,1,7.23,1.42,Townhouse,843310.44
Suburban,2847,1,2,2,21,2,0,0,8.04,1.07,Condo,1029815.98
Riverside,2379,5,2,1,34,0,1,0,9.15,0.44,Townhouse,1024613.97
Hillview,2207,3,1,2,25,1,0,1,7.57,1.36,Townhouse,928675.41
Uptown,1980,4,2,1,0,0,1,0,7.38,0.55,Townhouse,919806.57
Lakeview,1889,2,1,2,11,2,0,1,6.33,0.8,Townhouse,885470.0
Downtown,2259,1,3,1,22,2,1,0,7.58,0.74,Villa,943980.79
Suburban,1961,1,3,2,32,1,1,0,6.31,1.39,Villa,806908.24
Suburban,2077,4,1,3,17,2,0,1,9.22,0.44,Villa,1054034.7
Riverside,2143,4,2,3,34,2,1,1,6.94,0.53,Villa,1069438.34
Lakeview,1727,2,2,1,31,0,0,1,5.65,1.01,Condo,731757.1
Uptown,2393,2,1,1,10,0,1,1,6.2,1.34,Villa,920805.08
Riverside,3703,5,2,1,7,0,1,1,7.67,0.22,Villa,1272246.86
Lakeview,1123,5,1,2,36,1,1,0,9.58,0.35,Condo,788319.29
Old Town,2278,3,1,2,23,1,1,1,6.5,1.42,Apartment,872747.77
Old Town,1682,2,3,3,33,0,0,1,6.32,1.18,Villa,789836.14
Old Town,2418,2,2,3,36,1,0,1,7.03,0.55,Villa,970655.23
Suburban,2126,3,3,3,16,0,1,1,9.84,0.57,Villa,1072273.58
Lakeview,2519,3,2,1,1,2,0,0,9.23,0.73,Villa,1104049.38
Downtown,2747,1,3,1,36,2,0,0,5.75,1.03,Condo,876924.04
Suburban,2206,1,3,3,23,2,0,0,8.07,0.86,Villa,979818.19
Suburban,2723,3,2,3,4,0,1,0,8.96,1.18,Villa,1057320.44
Suburban,811,4,2,1,21,2,0,0,8.84,0.13,Villa,759922.83
Downtown,2975,1,2,1,1,1,0,0,7.44,1.24,Condo,991084.5
Downtown,2306,3,3,3,11,2,0,1,8.66,0.13,Condo,1094334.05
Hillview,2693,1,2,2,13,2,0,1,7.92,1.33,Apartment,1035231.5
Lakeview,1429,2,2,3,18,1,1,1,6.01,0.11,Apartment,877689.47
Downtown,1643,4,1,2,22,0,1,0,5.28,0.24,Apartment,746863.23
Riverside,2180,2,3,3,33,2,1,1,6.85,0.31,Villa,1000835.52
Old Town,2091,2,2,3,14,1,1,0,5.31,0.37,Townhouse,860198.6
Lakeview,2256,5,1,1,29,2,0,0,6.98,0.63,Apartment,921798.56
Hillview,2696,1,2,1,37,2,1,1,9.14,1.0,Townhouse,1046221.77
Uptown,1129,1,2,3,29,0,0,1,9.22,1.34,Villa,769262.44
Hillview,2636,5,1,1,10,2,0,1,5.17,0.81,Condo,975309.3
Riverside,2105,3,3,1,27,0,0,0,5.35,0.82,Townhouse,811396.21
Suburban,1988,1,3,3,11,0,0,0,8.35,0.51,Villa,904856.31
Lakeview,1291,3,3,1,19,0,1,1,7.5,1.21,Townhouse,786038.5
Uptown,2377,3,2,1,25,2,0,0,5.75,0.21,Apartment,891018.4
Downtown,772,2,1,1,11,0,1,1,9.03,0.49,Villa,637946.91
Uptown,2457,3,1,2,0,2,0,0,6.08,0.19,Villa,1047647.3
Downtown,1279,4,3,2,33,0,0,0,5.39,0.36,Apartment,778775.84
Uptown,2129,2,1,3,29,1,0,1,8.75,0.9,Villa,1037364.69
Uptown,2034,5,3,3,4,0,0,1,8.04,0.23,Townhouse,1065923.36
Downtown,2743,3,3,2,15,1,0,0,6.97,0.2,Townhouse,1070224.84
Old Town,2002,5,1,3,10,1,1,0,8.46,1.25,Condo,944448.31
Downtown,1718,1,3,1,39,2,1,0,9.56,0.22,Villa,921059.73
Old Town,1821,2,1,2,37,2,1,1,5.17,0.93,Townhouse,698477.91
Lakeview,2800,4,2,1,27,2,0,1,8.14,0.56,Townhouse,1115183.42
Downtown,2395,5,2,1,17,1,1,0,6.09,1.35,Condo,909321.43
Riverside,1888,2,3,3,2,0,1,0,7.37,1.08,Condo,843539.47
Lakeview,1970,5,2,1,9,0,0,1,7.12,0.14,Townhouse,918170.81
Riverside,1238,1,3,2,3,2,1,0,6.95,1.35,Villa,770045.64
Downtown,2314,3,2,2,31,1,1,1,5.95,0.65,Townhouse,949790.38
Old Town,1132,2,3,1,3,2,1,1,9.01,0.48,Townhouse,805362.57
Old Town,2513,3,3,3,27,1,0,1,6.9,1.03,Condo,1009598.7
Hillview,2171,5,3,1,38,1,0,0,9.44,1.09,Apartment,991068.49
Riverside,3413,4,2,1,12,2,0,1,6.77,0.49,Condo,1154408.11
Lakeview,1495,4,2,2,27,2,0,1,9.2,0.56,Condo,911676.35
Old Town,2044,2,3,1,35,0,0,0,7.72,0.28,Apartment,772526.25
Riverside,3089,5,3,3,17,1,0,1,6.93,0.91,Villa,1267207.93
Lakeview,2755,3,3,1,17,0,0,1,8.52,1.44,Apartment,1040114.05
Lakeview,1717,4,2,1,8,2,1,0,8.93,0.65,Townhouse,941363.13
Old Town,2223,4,3,1,17,0,0,0,7.41,1.49,Apartment,805112.12
Downtown,2101,4,3,1,34,2,0,1,7.13,0.31,Villa,1008971.45
Hillview,2255,4,3,1,26,2,0,1,7.89,1.2,Apartment,994449.52
Old Town,1716,3,1,2,8,0,0,1,7.93,1.4,Apartment,769697.98
Suburban,2051,4,2,1,21,1,1,1,7.13,1.05,Villa,881610.93
Hillview,1221,5,3,1,28,0,1,1,8.79,0.21,Villa,870885.07
Uptown,2174,2,3,1,3,1,1,1,7.0,0.52,Townhouse,969824.0
Downtown,2348,3,3,1,30,1,1,1,7.26,0.17,Apartment,949854.16
Uptown,1975,1,1,2,8,1,0,1,8.03,0.92,Villa,879457.9
Downtown,1212,2,1,3,11,2,1,0,9.93,1.5,Condo,831913.5
Uptown,2644,4,3,1,16,1,1,0,6.3,0.59,Condo,983844.86
Riverside,2300,4,3,3,20,1,0,0,6.16,0.29,Villa,1120005.08
Downtown,1701,2,1,3,36,0,1,1,5.88,0.44,Apartment,760664.11
Lakeview,1946,3,2,1,8,2,1,1,8.45,0.88,Condo,964148.21
Suburban,1275,5,3,2,10,0,1,0,7.25,0.87,Townhouse,807980.01
Hillview,1536,1,1,2,15,1,0,0,6.94,0.38,Villa,800864.06
Suburban,1804,1,3,2,34,0,0,0,6.02,1.14,Townhouse,720150.34
Lakeview,2776,2,1,1,38,0,0,0,9.46,0.18,Apartment,974494.42
Uptown,1748,4,1,2,18,1,0,1,7.22,0.95,Villa,889756.9
Uptown,2452,2,3,1,27,2,1,0,8.04,0.67,Villa,1011636.34
Old Town,1804,5,2,3,36,0,0,0,5.56,0.23,Townhouse,903853.55
Old Town,2236,5,2,2,33,1,1,0,5.54,0.97,Apartment,876614.57
Hillview,2022,3,3,1,27,2,0,1,5.34,1.03,Villa,907267.61
Uptown,2580,2,1,2,21,1,0,1,6.84,0.69,Condo,910142.84
Uptown,1806,1,2,3,39,0,1,1,7.36,1.21,Apartment,852719.45
Downtown,1235,5,2,3,9,0,0,1,6.22,0.79,Apartment,802501.87
Hillview,1340,5,3,1,14,2,0,1,6.75,0.46,Condo,923545.96
Downtown,1807,3,1,3,28,0,0,1,5.03,1.43,Condo,780031.36
Riverside,1413,3,2,1,0,0,0,1,6.76,1.42,Villa,740312.13
Uptown,2326,4,2,1,20,0,1,0,5.6,0.19,Apartment,895326.1
Suburban,1844,4,2,1,34,2,1,0,5.64,1.42,Townhouse,835518.77
Uptown,3406,1,3,3,7,1,1,0,5.02,1.17,Villa,1128474.54
Old Town,1144,4,2,3,32,2,1,1,8.48,0.2,Townhouse,869478.54
Suburban,2212,5,3,2,16,1,0,1,9.66,0.8,Apartment,1027529.91
Riverside,1480,4,3,3,34,0,1,1,8.11,0.1,Condo,899472.67
Old Town,1829,3,3,1,25,0,0,0,5.48,0.9,Townhouse,735552.8
Uptown,2178,3,3,1,6,0,0,1,9.95,1.4,Townhouse,952183.65
Hillview,821,2,2,3,29,0,1,1,9.88,0.58,Townhouse,782083.27
Lakeview,2230,4,1,3,2,1,0,1,7.34,0.79,Apartment,1025610.56
Lakeview,3147,2,3,1,9,0,1,1,5.54,0.38,Condo,1036421.05
Uptown,1851,2,2,1,35,0,1,1,8.6,0.83,Villa,853514.15
Hillview,2243,2,1,2,35,1,0,0,9.81,1.21,Villa,965441.36
Riverside,2664,2,1,1,1,1,0,0,8.89,0.36,Condo,935168.36
Riverside,2010,2,1,3,15,2,1,0,8.12,0.85,Apartment,953897.4
Downtown,1780,1,3,3,3,1,1,0,8.05,0.56,Apartment,948789.29
Riverside,848,4,1,1,10,1,1,1,9.89,1.13,Condo,703338.81
Lakeview,2453,3,3,1,38,1,1,0,5.37,1.07,Villa,982335.52
Riverside,2038,5,2,3,7,0,0,0,5.75,1.06,Townhouse,934792.42
Downtown,1543,1,1,2,25,1,0,0,9.15,0.6,Townhouse,797274.3
Hillview,2170,4,2,1,32,1,1,1,5.73,0.92,Condo,925268.87
Lakeview,1779,1,3,1,35,0,0,0,6.92,0.99,Townhouse,777220.6
Lakeview,1809,3,3,3,14,2,1,1,6.41,1.04,Villa,1025162.92
Suburban,2433,3,2,3,27,1,1,1,6.22,0.88,Townhouse,987747.96
Old Town,1364,3,2,1,19,2,1,0,5.13,1.31,Townhouse,681261.75
Old Town,2676,4,1,3,4,0,0,1,7.83,0.41,Villa,1104023.62
Suburban,1331,5,1,1,8,2,1,1,7.01,0.13,Apartment,784043.07
Suburban,1736,2,2,1,29,1,0,1,7.76,1.45,Villa,751709.79
Suburban,3158,5,2,2,27,2,1,0,6.52,0.14,Condo,1189445.17
Lakeview,2720,1,1,2,20,1,0,1,9.71,1.36,Apartment,964592.01
Uptown,2154,2,3,3,31,1,1,0,7.96,0.94,Apartment,944586.71
Uptown,1583,2,2,3,27,0,0,0,9.81,1.38,Condo,792361.8
Uptown,1809,5,1,1,13,2,0,1,6.75,0.87,Condo,843631.23
Lakeview,2140,1,3,2,11,0,0,0,5.01,1.24,Apartment,856783.62
Downtown,2121,2,1,3,37,0,1,1,8.91,1.1,Apartment,916600.82
Lakeview,2050,3,3,2,38,1,0,1,9.14,0.81,Townhouse,998948.86
Downtown,2083,5,1,1,1,2,0,1,5.29,0.58,Condo,915747.86
Old Town,1982,3,2,1,31,2,0,0,8.13,0.05,Townhouse,862897.39
Hillview,1307,5,2,2,5,2,0,1,8.31,0.41,Condo,896260.58
Riverside,1816,4,3,2,34,1,0,1,5.73,1.43,Townhouse,906932.68
Suburban,2603,4,1,2,23,2,0,1,7.76,0.45,Condo,1051508.5
Suburban,1347,4,3,1,27,1,1,0,6.22,1.14,Townhouse,734720.49
Uptown,1996,1,2,1,28,1,1,0,5.08,0.79,Villa,771282.75
Riverside,1649,3,1,2,24,0,1,0,9.33,0.5,Townhouse,810996.64
Riverside,2161,3,2,3,10,2,1,0,7.46,1.49,Villa,997269.36
Lakeview,1886,2,3,2,32,0,0,0,8.91,0.12,Townhouse,930919.56
Suburban,2913,1,2,2,22,0,1,0,8.61,0.89,Condo,971288.08
Lakeview,2379,1,1,3,21,1,0,1,9.97,0.72,Condo,1006091.86
Lakeview,1379,4,2,3,12,1,1,0,7.19,0.16,Townhouse,895859.68
Hillview,2469,4,2,3,0,0,0,1,7.14,0.36,Apartment,1132121.47
Suburban,1674,2,1,2,22,1,0,0,6.41,1.06,Townhouse,724658.17
Suburban,1783,4,1,3,13,0,0,1,8.13,0.21,Villa,949954.8
Suburban,2273,4,3,2,26,1,1,1,7.43,1.21,Apartment,946579.77
Hillview,1830,5,1,2,14,2,0,0,8.64,0.96,Condo,903949.72
Suburban,2591,5,2,2,38,2,1,0,6.78,0.2,Villa,1083297.49
Old Town,1674,5,3,3,27,0,0,1,5.65,0.47,Condo,863039.45
Downtown,1760,1,1,3,18,1,0,1,9.31,0.25,Villa,948138.36
Old Town,1739,4,2,1,28,1,1,0,9.14,1.21,Townhouse,828471.94
Downtown,1789,2,1,3,25,0,1,1,6.76,0.82,Townhouse,851545.74
Hillview,2705,3,3,1,24,0,1,0,8.45,0.05,Condo,1064806.81
Downtown,2446,4,2,2,23,0,1,1,7.46,0.84,Apartment,1022371.65
Suburban,3040,4,3,3,37,2,1,1,8.8,0.75,Townhouse,1238546.29
Suburban,3347,3,3,2,12,1,0,0,6.95,0.98,Villa,1193340.4
Uptown,1533,5,2,1,17,0,1,0,7.68,0.1,Villa,890486.51
Downtown,2139,1,1,2,10,2,1,1,5.29,0.1,Condo,829319.12
Old Town,1453,1,2,2,22,0,0,1,5.87,0.56,Apartment,643276.99
Hillview,1672,1,1,2,39,2,0,1,8.91,1.05,Townhouse,797667.21
Old Town,1753,5,2,1,24,1,1,1,6.91,1.02,Villa,856925.83
Hillview,1519,3,1,2,8,0,0,0,5.18,0.45,Condo,717644.75
Uptown,1521,3,3,1,36,1,1,1,5.84,0.36,Apartment,793122.02
Riverside,2021,4,2,2,31,2,0,0,7.06,1.04,Apartment,910705.7
Uptown,1431,3,1,3,17,1,0,1,8.59,0.09,Apartment,901469.25
Riverside,2563,3,3,3,5,2,0,0,6.82,0.86,Villa,1166821.54
Lakeview,1595,1,3,2,16,2,0,0,8.73,0.66,Apartment,833199.4
Old Town,3645,1,2,3,32,0,0,1,9.29,0.4,Townhouse,1147525.0
Uptown,1852,5,1,1,23,2,0,1,6.71,0.8,Apartment,931155.38
Lakeview,2140,3,2,3,7,1,1,1,9.0,0.36,Villa,1151638.09
Uptown,1388,1,2,2,6,2,1,0,5.63,0.87,Townhouse,769051.2
Uptown,3038,2,3,3,38,1,0,0,7.08,0.27,Townhouse,1142840.94
Old Town,2716,2,1,3,17,1,0,1,5.49,0.64,Apartment,938258.5
Downtown,2263,2,3,2,27,1,1,1,5.26,0.79,Apartment,857196.34
Old Town,1359,2,1,2,14,2,1,1,5.32,0.1,Villa,743911.77
Suburban,2216,4,1,3,3,0,1,0,5.52,0.94,Townhouse,906283.81
Lakeview,1483,1,2,1,16,2,1,1,9.18,1.14,Condo,783843.5
Suburban,2904,2,1,1,27,0,0,0,7.72,1.44,Apartment,829491.6
Suburban,2545,3,2,2,13,2,0,1,9.74,0.34,Apartment,1125668.29
Suburban,2152,3,2,2,24,0,0,1,7.69,0.35,Townhouse,899068.67
Hillview,760,5,1,3,17,0,1,0,8.14,0.49,Condo,765553.0
Old Town,1559,5,3,1,13,0,1,1,5.92,1.34,Condo,758883.41
Lakeview,2478,2,1,2,10,1,1,1,7.7,0.64,Townhouse,1025176.49
Riverside,2767,3,3,1,10,0,1,1,6.93,0.49,Apartment,985127.93
Suburban,2710,1,3,1,10,1,1,1,9.66,1.12,Townhouse,1033374.53
Downtown,1224,4,2,3,28,2,1,0,9.67,0.11,Villa,975809.05
Downtown,2266,1,1,3,13,0,0,1,5.99,0.85,Villa,876900.89
Riverside,2659,1,3,3,29,1,0,0,8.1,0.7,Villa,1064132.4
Lakeview,1188,4,1,1,12,2,0,1,8.19,0.96,Townhouse,789536.29
Old Town,2096,1,1,2,13,1,1,0,7.81,1.11,Townhouse,798025.86
Lakeview,2251,3,3,3,36,2,0,1,5.62,0.52,Apartment,1044312.42
Downtown,1935,1,2,1,35,1,1,0,8.27,0.97,Apartment,780768.13
Downtown,1081,4,3,3,16,0,0,0,9.0,0.81,Apartment,834896.33
Uptown,1921,4,1,3,10,1,1,0,6.73,0.24,Villa,1006252.88
Downtown,1920,3,2,2,28,1,1,0,7.57,1.33,Townhouse,869340.94
Downtown,2019,5,3,2,2,0,0,1,5.58,1.14,Condo,876239.82
Riverside,1790,3,3,1,18,2,1,1,9.65,1.39,Villa,960447.32
Lakeview,1856,1,2,3,23,0,1,1,5.55,1.09,Townhouse,860088.85
Hillview,2078,1,3,3,27,0,0,1,6.04,0.4,Condo,888820.97
Downtown,2343,2,1,3,4,0,0,0,6.49,0.67,Townhouse,934954.56
Uptown,1933,2,2,3,0,2,1,1,9.13,0.61,Townhouse,1058338.46
Uptown,1875,2,1,2,11,1,1,0,8.5,0.1,Villa,958581.18
Uptown,2151,2,3,3,4,2,0,1,5.04,0.65,Apartment,1001937.54
Lakeview,1043,3,3,1,20,1,1,0,5.92,0.55,Condo,721180.05
Suburban,2362,1,3,3,36,0,0,0,8.75,0.06,Townhouse,994229.31
Lakeview,2100,4,3,1,11,1,1,0,7.02,1.28,Apartment,918336.5
Riverside,2122,2,1,2,18,0,1,1,5.13,0.26,Villa,867860.08
Uptown,2628,4,2,1,8,1,0,1,9.82,0.78,Apartment,1041112.17
Hillview,1026,3,3,1,1,0,0,1,5.76,1.19,Condo,701837.42
Uptown,1014,5,1,2,28,2,1,0,7.55,0.93,Townhouse,737477.22
Hillview,2251,3,2,2,10,1,0,0,6.24,0.3,Condo,974398.43
Hillview,2096,2,3,1,21,0,0,1,8.69,0.95,Villa,933322.72
Hillview,2194,3,2,3,27,2,0,1,8.88,1.15,Apartment,1054254.68
Uptown,1846,4,3,1,33,1,0,0,6.99,1.29,Townhouse,827366.39
Uptown,2465,3,2,3,7,0,0,1,8.29,0.51,Townhouse,1077949.59
Downtown,2613,3,2,1,23,1,1,0,9.55,0.1,Apartment,1015255.75
Uptown,2366,3,2,2,36,0,1,1,9.07,0.93,Townhouse,995727.09
Old Town,1957,2,2,1,19,2,1,1,7.07,0.38,Apartment,791470.95
Riverside,941,2,3,3,1,1,0,1,7.21,1.18,Townhouse,785085.38
Old Town,2523,5,3,3,10,2,0,0,9.43,1.04,Townhouse,1105992.65
Lakeview,2772,4,1,1,31,2,1,1,5.17,1.17,Apartment,956663.95
Lakeview,2455,1,3,1,31,2,1,0,5.11,1.45,Villa,886831.75
Uptown,1616,5,2,2,12,1,1,0,6.03,0.9,Apartment,875785.48
Old Town,2471,4,2,3,7,0,0,1,9.14,1.36,Townhouse,1042783.27
Uptown,2573,1,1,1,11,1,0,0,5.77,0.98,Apartment,836540.97
Riverside,2957,4,2,1,9,1,1,0,6.43,0.31,Townhouse,1094489.73
Hillview,1618,3,2,2,29,0,0,1,8.15,1.21,Villa,850141.46
Hillview,1975,5,2,1,33,2,1,0,5.92,1.06,Apartment,891139.64
Suburban,2511,3,1,1,1,2,1,0,6.52,1.47,Condo,881030.56
Suburban,2132,3,3,1,29,1,1,0,7.33,0.4,Townhouse,888404.14
Downtown,1485,2,2,2,30,2,0,1,6.14,0.53,Villa,862565.65
Downtown,2328,2,2,3,24,2,1,0,9.96,1.24,Condo,1080886.98
Old Town,2418,4,1,2,34,0,1,0,5.82,0.14,Townhouse,874453.33
Old Town,2148,5,1,1,1,1,1,1,9.25,0.97,Condo,939482.99
Suburban,2221,5,3,2,27,2,1,0,7.35,0.83,Apartment,1003157.92
Riverside,1958,4,1,2,5,1,0,0,5.65,0.29,Apartment,856117.81
Hillview,2913,4,3,1,35,2,1,1,5.59,0.29,Apartment,1097719.44
Suburban,1605,3,3,1,19,1,1,1,7.5,1.22,Townhouse,788973.05
Riverside,1777,2,2,1,3,0,1,0,6.77,0.07,Condo,681235.49
Riverside,2106,4,3,3,29,1,0,1,6.17,1.13,Condo,998850.23
Old Town,2583,2,2,3,29,1,1,0,9.79,1.11,Condo,982171.69
Riverside,1276,2,3,1,18,2,0,0,7.32,0.99,Townhouse,725841.07
Uptown,1379,5,1,1,12,0,1,1,9.64,0.64,Townhouse,825512.68
Riverside,979,3,2,2,0,0,1,0,5.82,0.09,Villa,713424.92
Old Town,2118,2,2,1,36,0,0,0,5.92,1.21,Apartment,690046.0
Riverside,1485,5,3,3,7,1,0,0,7.98,0.23,Apartment,946192.19
Suburban,1888,5,1,3,33,2,0,1,6.35,0.46,Apartment,896926.6
Hillview,2464,2,3,1,23,1,0,0,5.92,1.42,Townhouse,905252.55
Suburban,1747,3,1,1,27,2,0,1,5.47,0.49,Townhouse,754033.83
Riverside,2227,3,1,1,27,2,1,0,5.38,0.42,Condo,854455.96
Uptown,1935,4,2,2,34,1,1,1,8.77,1.46,Apartment,877990.43
Lakeview,2470,5,1,3,1,1,0,1,6.41,0.17,Condo,1089665.27
Hillview,2361,3,2,2,39,0,1,1,9.89,0.28,Townhouse,1050912.44
Lakeview,1719,4,3,1,1,2,0,0,5.92,0.69,Condo,879026.43
Uptown,2007,3,3,1,39,2,1,1,6.77,1.19,Townhouse,877674.94
Old Town,2674,5,1,1,10,2,0,0,6.87,1.33,Villa,971762.73
Uptown,2316,3,2,1,33,2,0,1,7.5,1.15,Townhouse,933755.53
Riverside,1332,2,2,2,3,1,0,1,9.35,1.47,Townhouse,785930.53
Old Town,2461,3,1,2,18,0,0,0,9.17,0.07,Apartment,914731.04
Old Town,1503,5,2,1,21,2,1,1,5.05,0.95,Apartment,722625.87
Lakeview,2877,4,2,1,38,1,1,0,7.05,0.22,Townhouse,1088788.97
Uptown,2663,1,3,3,4,2,1,0,9.14,1.37,Apartment,1133695.49
Old Town,2259,1,1,3,1,2,1,0,5.0,1.41,Apartment,782259.28
Hillview,2186,3,1,2,25,0,1,0,7.67,0.49,Apartment,850441.48
Suburban,1985,5,3,2,1,1,0,1,6.3,1.25,Townhouse,976171.42
Uptown,2473,3,3,2,31,1,0,1,7.06,0.96,Condo,1038984.91
Old Town,1896,3,1,2,1,1,1,0,7.1,0.2,Villa,832850.53
Old Town,2230,4,1,1,38,0,1,0,6.96,0.92,Apartment,785585.91
Uptown,2580,3,2,2,21,0,1,0,9.46,1.47,Townhouse,1049547.0
Hillview,1791,5,3,3,37,1,0,1,7.68,0.5,Villa,1037019.69
Downtown,1761,4,1,2,5,0,0,1,9.52,0.05,Townhouse,969871.7
Riverside,1443,4,1,3,10,0,1,1,8.63,1.47,Villa,862090.14
Suburban,1515,4,3,2,18,0,0,0,6.76,0.65,Townhouse,814165.93
Uptown,1094,4,3,1,1,2,1,1,7.47,0.67,Villa,854339.17
Downtown,2501,1,3,2,4,0,1,0,6.95,1.08,Condo,957205.71
Suburban,3095,3,3,3,13,1,0,0,9.14,0.93,Townhouse,1203961.3
Hillview,2884,1,3,2,29,0,1,1,5.94,0.49,Villa,1104637.73
Hillview,1206,3,1,2,28,1,1,0,9.68,0.19,Apartment,825495.18
Old Town,2499,1,1,1,3,0,0,0,7.9,1.25,Townhouse,796991.25
Lakeview,2882,3,1,3,2,0,1,0,8.06,0.75,Villa,1230269.47
Lakeview,1849,2,1,2,26,1,0,1,7.58,1.03,Apartment,857789.82
Downtown,2156,1,3,1,14,2,0,1,7.77,1.3,Villa,943192.9
Lakeview,996,1,2,2,31,0,0,0,8.34,0.08,Villa,706751.14
Hillview,2247,3,1,1,11,1,1,1,8.28,1.3,Condo,864609.18
Hillview,1515,1,1,3,14,2,1,0,6.07,1.14,Townhouse,764574.3
Downtown,2210,5,1,3,8,1,1,1,7.91,1.42,Townhouse,1010258.36
Hillview,1241,4,2,1,10,2,1,0,6.77,0.39,Townhouse,848612.57
Uptown,2399,4,2,3,28,0,0,1,8.19,0.52,Condo,1056397.22
Hillview,2663,1,1,1,18,2,1,0,7.74,1.01,Apartment,904805.67
Downtown,1669,4,3,2,26,0,0,1,5.9,1.39,Villa,853223.27
Old Town,1475,4,1,2,3,1,1,0,8.67,1.49,Townhouse,777256.34
Lakeview,914,2,2,1,21,1,1,1,7.29,0.65,Apartment,686121.27
Uptown,1953,1,2,3,18,0,1,1,7.76,0.83,Villa,913970.06
Downtown,1780,3,2,3,36,2,1,0,8.36,0.3,Villa,1004142.16
Lakeview,1247,4,3,2,16,2,1,0,8.26,1.06,Condo,890562.14
Lakeview,2349,1,3,1,4,0,1,0,8.74,1.26,Condo,894198.3
Suburban,1853,1,1,3,27,0,0,0,6.03,1.21,Apartment,740040.15
Uptown,1508,2,2,2,5,2,1,1,5.55,0.55,Apartment,810050.72
Riverside,1795,3,1,3,36,1,1,0,8.35,1.45,Condo,804081.25
Hillview,2689,3,2,2,15,0,1,1,6.18,0.22,Apartment,1045142.0
Old Town,2432,3,2,1,31,2,1,0,5.57,0.77,Villa,906522.39
Uptown,2028,2,2,1,26,2,0,0,5.66,0.85,Condo,815250.71
Lakeview,2441,1,1,1,18,1,0,0,6.56,0.83,Condo,812163.0
Uptown,1461,1,1,1,23,0,0,1,9.96,1.15,Condo,705890.41
